fecha;tipo_transporte;num_usuarios;tiempo_viaje_promedio_min;origen;destino
01/01/2019;Tranvía;1999;12;ProLiant Village ; HPE Innovation Hub
02/01/2019;Bicicleta;2701;59;Simplivity Springs ; Ezmeral Valley
03/01/2019;Autobús;4199;21;ProLiant Village ; Alletra City
04/01/2019;Bicicleta;3317;44;Alletra City ; GreenLake Shores
05/01/2019;Metro;3137;14;Aruba Central ; HPE Innovation Hub
06/01/2019;Bicicleta;1740;60;Alletra City ; Ezmeral Valley
07/01/2019;Bicicleta;2480;35;Simplivity Springs ; Ezmeral Valley
08/01/2019;Taxi;2057;44;ProLiant Village ; Alletra City
09/01/2019;Autobús;1777;48;ProLiant Village ; Aruba Central
10/01/2019;Autobús;2235;14;Nimble Peak ; ProLiant Village
11/01/2019;Bicicleta;3958;42;GreenLake Shores ; Apollo Heights
12/01/2019;Taxi;280;46;Aruba Central ; ProLiant Village
13/01/2019;Tranvía;740;15;GreenLake Shores ; Composable Cloud
14/01/2019;Bicicleta;1904;38;Ezmeral Valley ; ProLiant Village
15/01/2019;Coche Compartido;3171;28;Nimble Peak ; Simplivity Springs
16/01/2019;Tranvía;1597;33;Composable Cloud ; Nimble Peak
17/01/2019;Autobús;2719;12;Ezmeral Valley ; Nimble Peak
18/01/2019;Taxi;2406;24;ProLiant Village ; Alletra City
19/01/2019;Tranvía;413;21;HPE Innovation Hub ; Alletra City
20/01/2019;Autobús;2628;60;Apollo Heights ; HPE Innovation Hub
21/01/2019;Bicicleta;3373;40;Simplivity Springs ; Aruba Central
22/01/2019;Coche Compartido;3754;23;Apollo Heights ; Simplivity Springs
23/01/2019;Coche Compartido;2743;49;Apollo Heights ; Composable Cloud
24/01/2019;Taxi;2237;46;GreenLake Shores ; Nimble Peak
25/01/2019;Coche Compartido;1712;58;Nimble Peak ; Apollo Heights
26/01/2019;Taxi;1239;41;Apollo Heights ; ProLiant Village
27/01/2019;Autobús;1404;28;Simplivity Springs ; Composable Cloud
28/01/2019;Metro;3018;60;Apollo Heights ; Simplivity Springs
29/01/2019;Tranvía;1363;22;ProLiant Village ; Composable Cloud
30/01/2019;Taxi;3871;58;Simplivity Springs ; ProLiant Village
31/01/2019;Autobús;697;16;ProLiant Village ; Ezmeral Valley
01/02/2019;Autobús;1948;49;GreenLake Shores ; Nimble Peak
02/02/2019;Autobús;2923;22;ProLiant Village ; Nimble Peak
03/02/2019;Bicicleta;1407;20;Nimble Peak ; Aruba Central
04/02/2019;Tranvía;3664;24;Alletra City ; HPE Innovation Hub
05/02/2019;Coche Compartido;2106;52;Nimble Peak ; ProLiant Village
06/02/2019;Tranvía;2931;28;Nimble Peak ; Simplivity Springs
07/02/2019;Metro;3080;29;ProLiant Village ; Ezmeral Valley
08/02/2019;Autobús;4479;28;Aruba Central ; ProLiant Village
09/02/2019;Metro;1545;44;Simplivity Springs ; ProLiant Village
